temperature_c,humidity_pct,vibration_rms_g,supply_voltage_v,signal_current_ma,snr_db,drift_ppm,response_time_ms,calibration_error_pct,defective
34.44,52.62,1.74,23.84,138.0,28.07,21.9,17.6,0.01,0
23.68,39.47,0.401,24.42,99.8,26.2,19.03,36.3,1.02,1
38.0,29.88,1.18,26.34,164.6,21.91,16.53,42.0,2.1,1
39.52,47.71,0.69,26.49,98.0,40.29,33.88,84.0,1.48,1
16.39,54.19,0.778,24.08,97.7,38.71,11.78,15.2,0.82,0
21.58,81.52,0.498,24.19,138.9,34.82,38.6,66.5,0.79,1
33.02,56.95,0.688,25.29,146.7,22.47,15.75,42.7,0.75,1
29.47,69.74,1.436,22.99,135.7,33.13,5.23,47.4,0.54,0
31.87,47.51,1.04,24.4,61.0,31.84,18.7,42.1,4.34,1
25.18,37.23,1.744,23.97,138.8,30.66,7.24,48.0,1.96,1
39.04,40.52,1.359,24.38,83.8,35.5,10.48,37.2,2.66,1
38.22,44.12,0.975,23.0,128.2,31.81,21.97,66.2,1.01,1
32.53,86.93,1.754,22.09,70.2,32.44,23.56,31.8,1.38,1
41.02,42.68,0.975,21.51,135.6,31.82,11.78,60.4,0.74,1
35.74,67.58,1.161,22.66,91.8,30.04,27.87,28.4,0.0,1
25.13,41.46,0.7,23.45,75.1,17.3,29.58,38.9,0.0,1
34.95,68.97,0.824,23.65,145.0,28.5,32.36,20.7,0.0,0
24.33,60.77,0.585,26.32,128.5,24.66,23.29,48.2,0.0,1
39.03,52.65,1.249,25.33,98.5,20.32,31.63,66.0,0.17,1
31.6,54.39,0.471,22.85,170.8,38.09,0.0,38.6,3.19,0
30.52,45.18,1.138,24.42,104.6,38.37,14.82,36.5,1.55,0
26.55,61.69,0.734,23.51,121.1,36.16,9.33,19.9,3.15,0
41.78,48.18,1.355,23.66,129.4,29.53,19.19,35.9,2.09,0
30.76,36.62,1.122,24.22,98.3,36.1,12.29,11.3,2.54,0
28.57,35.83,1.815,24.74,136.5,28.07,16.34,23.6,0.52,0
29.18,57.59,1.111,23.59,101.3,29.22,36.82,44.1,2.23,1
36.26,78.69,0.394,25.28,105.6,21.44,16.3,63.7,2.47,1
34.92,57.4,0.776,22.63,167.7,30.38,22.14,90.6,0.91,1
35.3,53.22,0.472,24.01,83.6,28.36,15.68,29.4,2.27,1
35.45,59.29,0.634,27.12,35.6,20.18,18.76,65.8,2.28,1
49.13,74.59,1.579,24.27,176.4,27.69,18.06,44.4,0.94,1
28.75,58.29,1.066,25.72,209.2,27.52,22.48,37.3,0.25,0
27.9,48.84,0.584,24.11,105.8,38.79,29.65,47.8,0.18,0
25.49,71.59,0.507,24.7,52.2,33.37,34.47,41.1,1.7,0
36.93,61.43,0.812,23.93,109.1,28.07,21.1,42.0,1.99,1
41.03,78.04,0.463,23.8,110.0,29.49,23.9,32.7,0.65,1
31.09,57.75,0.591,23.06,113.4,28.27,6.49,14.8,1.63,0
25.28,36.63,0.921,24.52,81.0,26.78,17.12,12.2,2.28,0
25.4,34.48,1.345,22.98,140.3,21.51,27.4,51.8,2.34,0
37.2,79.76,1.052,24.8,138.4,27.09,26.66,35.0,3.46,0
37.95,80.85,0.285,25.3,67.7,23.52,20.12,29.3,3.13,0
36.35,52.31,0.917,24.44,144.5,20.5,26.86,40.2,0.4,1
26.68,49.25,0.826,23.66,191.8,31.07,22.91,54.3,3.62,1
33.86,76.92,0.964,24.54,126.0,30.35,30.0,43.2,0.96,1
32.93,38.39,1.656,23.63,108.2,17.28,20.89,28.2,2.85,1
33.75,41.58,0.316,25.12,115.0,27.26,14.44,62.1,1.68,0
38.97,64.65,0.613,21.8,141.5,33.97,21.36,68.4,1.11,1
33.79,49.08,1.044,23.6,59.4,34.36,0.0,48.9,0.0,0
37.43,54.92,0.393,21.61,125.8,34.16,21.83,57.5,1.39,1
32.54,52.55,1.554,22.21,106.3,28.23,0.0,62.4,0.0,1
34.31,60.06,0.944,25.64,184.7,22.93,0.77,60.3,2.76,1
37.05,76.11,1.171,25.07,113.9,21.5,22.52,51.1,3.42,1
20.34,56.36,0.619,23.14,178.4,30.07,22.78,50.8,0.64,0
29.44,64.66,1.154,22.2,81.4,30.28,6.38,49.4,1.96,1
28.24,24.25,1.294,20.44,140.6,35.72,10.88,20.2,0.73,0
26.89,54.27,0.888,23.35,131.2,34.6,31.71,52.6,0.85,0
29.8,42.35,0.889,26.9,89.6,27.21,13.16,15.6,2.53,1
43.96,36.72,0.903,24.52,126.2,20.53,40.43,25.7,1.55,1
25.07,41.83,0.542,23.33,162.4,26.09,17.98,63.5,3.69,1
39.75,49.99,0.749,24.56,108.7,29.3,22.08,55.1,1.02,1
18.54,68.74,0.747,22.13,60.8,26.79,34.17,66.8,2.8,0
29.32,35.1,0.951,23.64,119.4,24.53,19.31,35.1,1.72,1
33.3,55.46,1.255,24.12,88.4,29.52,7.98,19.3,2.55,0
36.69,47.74,0.497,23.9,108.0,24.98,16.9,35.7,1.06,0
37.69,50.08,0.756,24.95,117.1,24.23,17.64,41.8,1.54,1
38.35,70.04,1.558,24.41,60.3,29.87,4.35,41.4,1.46,1
29.21,63.07,0.572,24.8,63.5,25.59,15.44,60.4,0.6,0
28.3,75.06,0.553,23.17,136.9,29.46,10.58,33.5,2.39,1
38.86,52.68,0.876,25.08,101.7,29.64,27.24,46.3,2.38,1
30.47,44.56,1.17,25.95,30.2,21.16,18.35,22.2,2.31,1
21.79,51.64,0.804,22.84,147.5,25.11,15.17,48.1,3.44,1
22.93,58.64,1.455,22.93,129.5,36.63,16.94,40.1,3.34,0
24.64,57.65,1.176,25.6,95.0,21.03,20.23,26.5,1.15,0
35.98,38.73,1.168,23.77,73.9,15.3,24.17,35.8,2.05,1
33.14,56.36,1.027,25.68,149.3,16.83,8.0,36.7,0.85,0
37.52,58.42,2.28,23.47,132.2,28.17,7.58,35.1,1.63,1
28.58,92.76,0.729,25.75,203.4,28.19,29.05,71.9,0.88,1
33.27,83.15,0.325,24.16,134.7,27.29,13.88,38.2,3.54,1
37.0,42.2,1.647,24.31,133.6,35.29,3.83,35.6,2.04,0
29.53,50.69,0.651,25.88,114.2,11.96,22.44,5.0,1.34,1
35.65,33.05,0.84,23.57,148.6,30.38,22.63,23.9,3.03,1
26.7,46.14,1.442,22.87,141.9,37.37,2.69,35.3,0.0,0
29.1,59.73,0.389,23.46,163.8,21.23,20.29,27.7,0.0,0
28.95,73.09,0.455,24.54,101.8,25.72,25.36,64.9,2.56,1
22.43,44.06,0.389,22.12,104.8,23.48,21.74,37.0,1.67,1
35.9,45.19,0.56,24.76,103.2,22.63,24.32,63.2,1.9,1
28.24,22.79,0.975,23.35,147.7,26.04,3.96,41.1,0.01,1
32.1,52.56,1.013,25.38,172.4,36.56,21.31,40.7,1.57,1
35.85,39.06,0.906,21.13,103.9,39.02,14.97,38.4,4.0,1
35.57,47.06,0.424,23.06,105.1,25.98,13.17,40.1,2.59,1
37.32,41.85,0.283,21.98,131.0,39.43,26.71,70.9,1.8,1
31.21,53.59,0.82,23.01,111.4,28.21,32.79,5.0,1.07,0
28.61,28.63,0.647,24.3,153.3,38.52,35.94,5.0,1.13,0
31.36,32.99,0.984,23.78,41.2,27.44,31.15,30.2,0.0,1
18.5,86.94,1.097,23.7,91.1,28.79,16.9,40.3,1.91,0
20.42,35.69,0.851,23.81,92.6,30.19,21.53,52.4,2.61,1
21.42,38.55,1.126,24.24,38.8,45.0,25.67,48.5,0.0,1
24.02,82.55,0.887,22.79,86.3,33.11,19.21,33.1,0.81,0
35.2,95.0,1.016,24.85,88.0,23.76,19.31,58.3,0.21,1
24.76,37.43,0.583,24.8,113.0,33.81,26.24,58.5,0.44,0
28.97,49.48,0.738,24.46,159.0,25.83,17.41,43.3,1.66,0
42.39,60.12,0.874,24.67,111.4,25.06,10.71,57.3,0.0,1
29.15,80.93,1.157,24.36,83.9,33.45,13.86,44.9,2.34,1
37.9,40.2,0.67,26.44,118.0,28.19,24.34,29.9,2.5,1
24.53,51.32,1.011,23.9,156.7,29.67,18.03,52.6,1.3,1
30.36,66.66,0.71,23.63,85.8,28.08,21.4,42.0,0.0,1
24.4,61.52,0.759,23.1,88.1,30.02,24.7,40.0,0.4,1
29.29,49.36,1.162,22.76,139.5,30.55,14.25,66.5,3.08,0
38.72,52.99,0.326,22.51,112.2,16.38,25.56,5.0,0.0,0
18.18,34.38,0.446,22.93,142.7,32.0,21.79,14.5,1.18,0
35.48,51.43,0.411,23.92,119.5,22.11,5.65,18.6,0.18,1
33.9,51.0,0.28,24.4,144.6,19.35,32.42,33.5,2.57,1
27.25,58.48,0.59,24.06,83.8,27.65,12.99,35.4,0.79,1
20.43,46.67,1.121,23.08,119.6,28.5,1.45,12.9,2.08,1
32.58,62.07,0.704,25.08,112.6,23.84,7.55,22.3,2.28,0
27.76,70.19,0.874,24.89,77.4,32.99,7.79,24.5,3.8,1
33.86,57.33,1.306,23.81,65.3,19.95,18.52,84.2,1.36,1
32.17,60.28,1.454,23.22,144.0,25.56,15.26,72.4,2.05,0
44.81,55.8,0.775,24.66,107.7,24.49,14.63,32.6,0.0,1
30.09,55.0,1.471,24.23,84.2,27.72,24.2,33.5,3.03,1
23.81,44.18,0.834,22.26,116.6,29.67,21.4,19.3,0.69,1
33.43,59.75,0.549,23.92,159.5,21.95,21.16,5.7,0.93,1
33.76,53.54,0.612,24.31,40.2,32.35,22.1,37.9,1.57,0
42.87,86.4,0.411,22.92,67.6,28.38,24.16,22.0,0.0,1
38.68,78.6,0.536,24.23,87.7,16.65,0.0,38.5,1.87,0
34.85,60.79,0.681,22.25,171.1,16.25,14.36,11.2,2.76,0
43.71,43.55,1.149,25.6,129.9,27.93,0.0,26.3,1.95,0
22.49,38.31,1.735,25.5,146.9,26.67,18.36,42.7,0.0,1
26.88,72.87,0.43,23.7,80.1,27.38,17.95,46.6,1.45,1
24.59,58.94,0.955,24.44,80.8,27.83,28.46,47.5,2.49,0
28.88,62.2,0.501,21.11,135.7,29.35,29.88,16.2,0.0,1
20.99,28.83,0.991,22.61,122.0,33.69,20.03,55.4,0.31,0
37.08,68.91,0.754,23.65,139.2,21.33,13.0,25.6,2.65,1
30.22,61.82,0.351,22.71,113.4,20.97,22.85,51.4,1.92,1
20.23,38.34,1.215,24.86,129.7,21.44,12.72,39.8,2.09,1
23.88,47.93,0.609,26.4,125.5,29.73,17.99,15.2,3.83,0
34.51,58.96,0.629,22.59,147.2,35.47,27.86,34.3,2.16,0
38.71,55.79,0.494,23.0,148.2,25.41,12.42,46.6,2.39,1
47.97,50.62,0.596,24.28,63.3,12.99,26.06,51.0,4.85,1
55.31,53.45,0.97,25.93,41.3,17.78,24.77,37.5,1.34,1
35.32,51.22,0.735,22.53,155.1,23.0,8.45,67.6,0.64,0
24.08,57.29,0.928,24.3,161.6,24.65,27.74,58.1,2.11,1
14.94,77.07,0.942,26.19,84.3,25.55,24.99,35.4,2.13,1
34.14,16.5,1.449,22.02,54.9,28.23,19.02,53.5,0.97,1
25.5,51.45,0.686,22.46,123.5,26.13,10.38,74.8,0.36,1
28.68,57.65,0.412,23.49,152.6,34.3,9.41,75.3,4.37,1
27.1,59.44,1.293,23.38,182.9,23.94,12.62,17.9,1.99,1
30.87,49.42,0.689,24.98,138.1,22.83,23.43,23.3,0.72,1
40.53,28.65,1.321,24.29,107.0,30.87,8.44,66.7,2.7,1
33.26,59.92,0.951,21.87,88.7,18.79,22.38,21.0,1.47,1
